Bill Gates,"I do think this next century, hopefully, will be about a more global view. Where you don’t just think, ‘Yes, my country is doing well,’ but you think about the world at large."
Bill Gates,"Whether I’m at the office, at home, or on the road, I always have a stack of books I’m looking forward to reading."
Bill Gates,"Don’t compare yourself with anyone in this world. If you do so, you are insulting yourself."
Bill Gates,"I am not in competition with anyone but myself.
My goal is to improve myself continuously."
Bill Gates,"If you give people tools, and they use their natural abilities and their curiosity, they will develop things in ways that will surprise you very much beyond what you might have expected."
Bill Gates,Measuring programming progress by lines of code is like measuring aircraft building progress by weight.
Warren Buffet,There seems to be some perverse human characteristic that likes to make easy things difficult.
Warren Buffet,"I insist on a lot of time being spent, almost every day, to just sit and think. That is very uncommon in American business. I read and think. So I do more reading and thinking, and make less impulse decisions than most people in business. I do it because I like this kind of life."
Warren Buffet,"If you don't find a way to make money while you sleep, you will work until you die."
Warren Buffet,"The best investment you can make, is an investment in yourself... The more you learn, the more you'll earn."
Warren Buffet,"Do not save what is left after spending, but spend what is left after saving."
Warren Buffet,We don't have to be smarter than the rest. We have to be more disciplined than the rest.
Warren Buffet,"Look for 3 things in a person. Intelligence, Energy, & Integrity.
If they don't have the last one, don't even bother with the first two."
Warren Buffet,I never attempt to make money on the stock market. I buy on the assumption that they could close the market the next day and not reopen it for five years.
Warren Buffet,"If you aren’t willing to own a stock for 10 years, don’t even think about owning it for 10 minutes"
Warren Buffet,"Time is the friend of the wonderful company, the enemy of the mediocre."
Warren Buffet,Buy a stock the way you would buy a house. Understand and like it such that you’d be content to own it in the absence of any market.
Warren Buffet,"You do things when the opportunities come along. I’ve had periods in my life when I’ve had a bundle of ideas come along, and I’ve had long dry spells. If I get an idea next week, I’ll do something. If not, I won’t do a damn thing."
Warren Buffet,"Opportunities come infrequently. When it rains gold, put out the bucket, not the thimble"
Warren Buffet,You only have to do a very few things right in your life so long as you don’t do too many things wrong.
Warren Buffet,It is not necessary to do extraordinary things to get extraordinary results.
Warren Buffet,"What counts for most people in investing is not how much they know, but rather how realistically they define what they don’t know."
Warren Buffet,"The key to investing is not assessing how much an industry is going to affect society, or how much it will grow, but rather determining the competitive advantage of any given company and, above all, the durability of that advantage."
Warren Buffet,Stocks of companies selling commodity-like products should come with a warning label: ‘Competition may prove hazardous to human wealth.’
Warren Buffet,"Our approach is very much profiting from lack of change rather than from change. With Wrigley chewing gum, it’s the lack of change that appeals to me."
Warren Buffet,Be fearful when others are greedy and greedy only when others are fearful.
Warren Buffet,The most important thing to do if you find yourself in a hole is to stop digging.
Warren Buffet,Risk comes from not knowing what you’re doing.
Warren Buffet,Diversification is a protection against ignorance. It makes very little sense for those who know what they’re doing.
Warren Buffet,"We’ve long felt that the only value of stock forecasters is to make fortune tellers look good. Even now, Charlie and I continue to believe that short-term market forecasts are poison and should be kept locked up in a safe place, away from children and also from grown-ups who behave in the market like children."
Warren Buffet,Forecasts may tell you a great deal about the forecaster; they tell you nothing about the future.
Warren Buffet,Nothing sedates rationality like large doses of effortless money.
Warren Buffet,I don’t look to jump over 7-foot bars: I look around for 1-foot bars that I can step over.
Warren Buffet,Games are won by players who focus on the playing field –- not by those whose eyes are glued to the scoreboard.
Warren Buffet,"I try to buy stock in businesses that are so wonderful that an idiot can run them because sooner or later, one will."
Warren Buffet,In the long run managements stressing accounting appearance over economic substance usually achieve little of either.
Warren Buffet,"Culture, more than rule books, determines how an organization behaves."
Warren Buffet,"I learned to go into business only with people whom I like, trust, and admire."
Warren Buffet,"In the world of business, the people who are most successful are those who are doing what they love."
Warren Buffet,I’m not interested in cars and my goal is not to make people envious. Don’t confuse the cost of living with the standard of living.
Warren Buffet,Life is like a snowball. The important thing is finding wet snow and a really long hill.
Warren Buffet,"You have to keep control of your time, and you can’t unless you say no. You can’t let people set your agenda in life."
Warren Buffet,The difference between successful people and really successful people is that really successful people say no to almost everything.
Warren Buffet,Writing a check separates a commitment from a conversation.
Warren Buffet,Tell me who your heroes are and I’ll tell you how you’ll turn out to be.
Warren Buffet,"It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you’ll do things differently."
Elon Musk,"When something is important enough, you do it even if the odds are not in your favor."
Elon Musk,What makes innovative thinking happen?… I think it’s really a mindset. You have to decide.
Elon Musk,"If you're trying to create a company, it's like baking a cake. You have to have all the ingredients in the right proportion."
Elon Musk,"I think it's very important to have a feedback loop, where you're constantly thinking about what you've done and how you could be doing it better. I think that's the single best piece of advice: constantly think about how you could be doing things better and questioning yourself."
Elon Musk,People work better when they know what the goal is and why. It is important that people look forward to coming to work in the morning and enjoy working.
Elon Musk,Great companies are built on great products.
Elon Musk,Any product that needs a manual to work is broken.
Elon Musk,"I don't create companies for the sake of creating companies, but to get things done."
Elon Musk,"I'm interested in things that change the world or that affect the future and wondrous, new technology where you see it, and you're like, 'Wow, how did that even happen? How is that possible?'"
Elon Musk,"We realized that the true problem, the true difficulty, and where the greatest potential is – is building the machine that makes the machine. In other words, it’s building the factory. I’m really thinking of the factory like a product."
Elon Musk,"It is important to view knowledge as sort of a semantic tree - make sure you understand the fundamental principles, ie the trunk and big branches, before you get into the leaves/details or there is nothing for them to hang on to."
Elon Musk,You should take the approach that you’re wrong. Your goal is to be less wrong.
Elon Musk,You get paid in direct proportion to the difficulty of problems you solve
Elon Musk,Constantly seek criticism. A well thought out critique of whatever you’re doing is as valuable as gold.
Elon Musk,"The first step is to establish that something is possible, then probability will occur."
Elon Musk,"One of the biggest mistakes we made was trying to automate things that are super easy for a person to do, but super hard for a robot to do."
Elon Musk,Life needs to be more than just solving problems every day. You need to wake up and be excited about the future.
Elon Musk,Education is basically downloading data and algorithms into your brain.
Elon Musk,"One of the really tough things is figuring out what questions to ask. Once you figure out the question, then the answer is relatively easy"
Elon Musk,With automation comes abundance.
